location,x,y,picture
Pisamai.HuaHin,99.9725495,12.52486196,https://drive.google.com/file/d/12oRu3FqdMRt3etuZb-RIEsi5q8OP1U4w/view?usp=sharing
Wake/Up Cafe and Bar,99.97390724,12.52313357,https://drive.google.com/file/d/1cwu4OM-p9h_jabPLGdbJm_DK27HEX3uA/view?usp=sharing
Skoop Beach Cafe HuaHin,99.97821164,12.51827818,https://drive.google.com/file/d/1ZqBpx0ra20s8OigNb_wCYQG2i88JnZ2A/view?usp=sharing
Air Space Hua Hin,99.97626385,12.51539647,https://drive.google.com/file/d/1N85kpA9lYgxbuDLn3MWRM8wZI93bsV3Y/view?usp=sharing
cafe on the go hua hin,99.97383624,12.52268368,https://drive.google.com/file/d/1Y93kYSjj-3n6h2bpZ6lLnYMSyoTGC1Ct/view?usp=sharing
Rafael Italian Cafe & Pasticceria,99.97629118,12.51451328,https://drive.google.com/file/d/1k0OnadN8uyO2Hb4BTsRvNaF-8gFhuTr4/view?usp=sharing
