location,x,y,picture
Pala-U Weterfall,99.46352669,12.53813727,https://drive.google.com/file/d/1KAAuaYJJI-0kVon3Svf5pe9C4Rr6SsAt/view?usp=sharing
Baan ping dao resort pala-u,99.58199327,12.49681638,https://drive.google.com/file/d/1xzvYnhDky76mfdeTQ4I4iHLoWiU8GNDg/view?usp=sharing
Baanrai chomphutip,99.58017678,12.45175626,https://drive.google.com/file/d/1QTide0yrj3rocDiX26K46BOztc5BSNRN/view?usp=sharing
Monsoon Valley Vineyard,99.70550815,12.52603124,https://drive.google.com/file/d/1XjI5PBtojlGFneRtTA-4r0fQ3cPsQeZB/view?usp=sharing
Tree Top Adventure Park Huahin,99.90418707,12.53089501,https://drive.google.com/file/d/1gw7nPOzA6lKmEsH3ldk5_YjxTsT25y6V/view?usp=sharing
Hua Hin Beach,99.96243585,12.57046626,https://drive.google.com/file/d/1Jp2CWpeKkQZu_xikj1jAOhiGwgpKfUTi/view?usp=sharing
Khao Takiab Beach,99.97752102,12.51037872,https://drive.google.com/file/d/10KURLyUCxPHOXnBX8GO1Qk1Y_dQKuldD/view?usp=sharing
